date,total_staff_hours,blended_wage_rate_eur
2026-05-01,43.6,13.34
2026-05-02,34.9,13.74
2026-05-03,35.0,13.83
2026-05-04,41.8,13.68
2026-05-05,39.5,13.26
2026-05-06,45.5,13.73
2026-05-07,44.6,13.64
2026-05-08,38.6,13.89
2026-05-09,28.4,13.36
2026-05-10,32.5,13.53
2026-05-11,46.0,13.33
2026-05-12,44.1,13.87
2026-05-13,44.3,13.45
2026-05-14,42.2,13.7
2026-05-15,41.5,14.15
2026-05-16,35.9,13.54
2026-05-17,33.0,13.87
2026-05-18,43.9,14.24
2026-05-19,39.7,13.43
2026-05-20,43.3,13.37
2026-05-21,39.4,13.28
2026-05-22,38.0,13.7
2026-05-23,32.8,13.52
2026-05-24,29.9,13.98
2026-05-25,43.6,13.7
2026-05-26,43.5,14.22
2026-05-27,44.3,13.89
2026-05-28,43.3,14.23
2026-05-29,41.4,13.8
2026-05-30,33.2,14.2
2026-05-31,34.6,13.28
2026-06-01,39.3,13.54
2026-06-02,44.0,13.83
2026-06-03,40.3,13.34
2026-06-04,43.5,13.97
2026-06-05,45.5,13.75
2026-06-06,32.0,13.29
2026-06-07,28.3,13.68
2026-06-08,40.6,13.48
2026-06-09,38.7,14.26
2026-06-10,44.7,13.83
2026-06-11,45.6,14.3
2026-06-12,43.4,13.5
2026-06-13,28.3,14.03
2026-06-14,31.8,13.92
2026-06-15,45.3,13.4
2026-06-16,42.7,13.9
2026-06-17,41.9,13.3
2026-06-18,40.8,13.57
2026-06-19,43.4,14.14
2026-06-20,30.6,13.96
2026-06-21,30.3,14.24
2026-06-22,44.5,13.81
2026-06-23,41.6,13.55
2026-06-24,40.6,14.27
2026-06-25,41.2,13.77
2026-06-26,45.9,13.92
2026-06-27,32.3,13.65
2026-06-28,29.5,13.6
2026-06-29,44.1,13.89
