item,category,units_sold,revenue_eur,cogs_eur,gross_profit_eur,margin_pct,pct_of_total_revenue
Chicken Teriyaki Bowl,Bowl,1663,16463.7,5571.05,10892.65,0.6616161616161615,0.22910448072740333
Falafel Power Bowl,Bowl,1160,10324.0,3132.0,7192.0,0.6966292134831461,0.14366604463332736
Salmon Poke Bowl,Bowl,892,10614.8,4014.0,6600.8,0.6218487394957983,0.1477127402725536
Beef Wrap,Wrap,1065,9478.5,3301.5,6177.0,0.651685393258427,0.13190029097801176
Caesar Salad,Salad,769,6536.5,1999.4,4537.1,0.6941176470588236,0.09096019960729798
Veggie Wrap,Wrap,678,5085.0,1356.0,3729.0,0.7333333333333333,0.07076151074781767
Greek Salad,Salad,580,4582.0,1276.0,3306.0,0.7215189873417721,0.06376189621366776
Fresh Orange Juice,Drink,698,3141.0,837.6,2303.4,0.7333333333333334,0.043709322568121003
Iced Matcha Latte,Drink,608,2979.2000000000003,790.4,2188.8,0.7346938775510204,0.041457756700078355
Sparkling Water,Drink,916,2656.4,503.8,2152.6,0.8103448275862069,0.03696575755172131
