week,revenue_eur,cogs_eur,gross_profit_eur,labor_cost_eur,overhead_eur,operating_profit_eur,gross_margin_pct,operating_margin_pct,labor_pct_of_revenue
2026-04-27,3423.8,1090.8000000000002,2333.0,1545.2,635.676741130092,152.12325886990794,0.6814066242187043,0.04443111714174541,0.4513114083766575
2026-05-04,9123.400000000001,2901.1,6222.3,3683.956,1483.245729303548,1055.0982706964523,0.682015476686323,0.11564748566285071,0.40379200736567505
2026-05-11,8048.8,2545.05,5503.75,3929.843,1483.245729303548,90.66127069645185,0.6837975847331279,0.011263948749683412,0.488252037570818
2026-05-18,8285.900000000001,2620.0,5665.900000000001,3642.518,1483.245729303548,540.1362706964526,0.6838001906853811,0.0651873991595907,0.4396043881775063
2026-05-25,8630.7,2743.4500000000003,5887.25,3949.624,1483.245729303548,454.38027069645153,0.6821289119074929,0.05264697773024801,0.45762498986177247
2026-06-01,8155.200000000001,2573.95,5581.25,3723.988,1483.245729303548,374.0162706964526,0.6843792917402393,0.0458623051177718,0.4566396900137335
2026-06-08,8154.400000000001,2579.05,5575.35,3795.036,1483.245729303548,297.06827069645215,0.6837228980673011,0.0364304266036069,0.4653973315020112
2026-06-15,8400.5,2664.35,5736.150000000001,3783.8,1483.245729303548,469.1042706964523,0.6828343550979109,0.055842422557758745,0.4504255699065532
2026-06-22,8212.7,2611.55,5601.150000000001,3805.934,1483.245729303548,311.9702706964521,0.6820107881695423,0.03798632248790922,0.4634205559681956
2026-06-29,1425.7,452.45000000000005,973.25,612.5490000000001,211.892247043364,148.8087529566359,0.6826471207126323,0.10437592267422031,0.42964789226344957
